Hypocenter Depth (km),Magnitude,Rrup_OpenQuake,Soil_Class,Tmax,origen,Seismic Latitude,Seismic Longitude,Station Latitude,Station Longitude,T_0.01_RotD50
6.483,3.58,3.3017453026904953,2,2.6666666666666665,NGAW2,37.1033,-121.5645,37.008,-121.287,-6.82665928006079
6.483,3.58,3.6696966346971625,2,3.2,NGAW2,37.1033,-121.5645,36.764,-121.4472,-9.080303829231378
8.082,3.67,3.6197972929264925,3,2.6666666666666665,NGAW2,36.806,-121.5251,37.0492,-121.8072,-7.644121073662187
8.082,3.67,3.4483989831464497,2,20.0,NGAW2,36.806,-121.5251,37.008,-121.287,-7.297261903762752
8.082,3.67,2.3933394562625097,2,5.333333333333333,NGAW2,36.806,-121.5251,36.764,-121.4472,-5.974640075608835
6.068,3.68,3.1175073304799117,2,1.9047619047619047,NGAW2,36.9659,-121.5943,37.1635,-121.6265,-5.980127059989202
6.068,3.68,3.0601145324832593,3,2.5806451612903225,NGAW2,36.9659,-121.5943,37.0492,-121.8072,-5.436848896191493
6.068,3.68,3.2035591207563074,3,2.5806451612903225,NGAW2,36.9659,-121.5943,37.1543,-121.7347,-4.824076975067943
6.068,3.68,3.740997408376043,2,2.2222222222222223,NGAW2,36.9659,-121.5943,37.3416,-121.6426,-8.079948447972047
1.331,3.7,3.5127387563950627,3,4.2105263157894735,NGAW2,36.8466,-121.4607,36.9275,-121.8276,-7.347707800004341
1.331,3.7,3.728100167267218,3,3.0769230769230766,NGAW2,36.8466,-121.4607,37.1543,-121.7347,-7.428617770678854
1.331,3.7,3.157425862551978,2,6.666666666666667,NGAW2,36.8466,-121.4607,37.008,-121.287,-7.5207926771950255
1.331,3.7,2.201659174404085,2,3.6363636363636362,NGAW2,36.8466,-121.4607,36.764,-121.4472,-6.502694252503959
1.331,3.7,1.5933085305042167,4,7.2727272727272725,NGAW2,36.8466,-121.4607,36.851,-121.402,-3.2513897190963212
1.331,3.7,1.9358598132018119,4,5.714285714285714,NGAW2,36.8466,-121.4607,36.891,-121.404,-3.728435999652601
1.331,3.7,1.9473377010464987,3,5.333333333333333,NGAW2,36.8466,-121.4607,36.86,-121.54,-3.8561394872557617
1.331,3.7,1.6714733033535532,4,5.714285714285714,NGAW2,36.8466,-121.4607,36.848,-121.397,-2.809873314086119
6.973,3.7,2.4042387467205457,3,4.2105263157894735,NGAW2,38.3913,-122.616,38.441,-122.701,-4.017294636147467
6.973,3.7,2.9036169846461855,3,2.3529411764705883,NGAW2,38.3913,-122.616,38.2903,-122.4613,-5.656064885489741
6.973,3.7,2.1150499691472033,3,2.962962962962963,NGAW2,38.3913,-122.616,38.4421,-122.6068,-4.499334683154537
6.973,3.7,2.3204250111223765,3,3.2,NGAW2,38.3913,-122.616,38.3674,-122.524,-3.8682602192775017
